delos id;mortage registry
321;ΠΥΡΓΟΥ ΣΑΜΟΥ - ΣΑΜΟΥ
322;ΠΥΡΡΑΣ - ΤΡΙΚΑΛΩΝ
323;ΠΩΓΩΝΙΟΥ - ΙΩΑΝΝΙΝΩΝ
324;ΡΕΘΥΜΝΟΥ - ΡΕΘΥΜΝΟΥ
325;ΡΕΝΤΙΝΑΣ - ΚΑΡΔΙΤΣΑΣ
326;ΡΟΔΟΛΕΙΒΟΥ - ΣΕΡΡΩΝ
327;ΡΟΔΟΥ ΚΤΗΜΑΤΟΛΟΓΙΟ - ΔΩΔΕΚΑΝΗΣΟΥ
328;ΣΑΛΑΜΙΝΟΣ - ΑΤΤΙΚΗΣ
329;ΣΑΜΑΙΩΝ - ΚΕΦΑΛΛΗΝΙΑΣ
330;ΣΑΜΟΘΡΑΚΗΣ - ΕΒΡΟΥ
331;ΣΑΜΟΥ - ΣΑΜΟΥ
332;ΣΑΠΠΩΝ - ΡΟΔΟΠΗΣ
333;ΣΕΛΛΑΣΙΑΣ - ΛΑΚΩΝΙΑΣ
334;ΣΕΡΒΙΩΝ - ΚΟΖΑΝΗΣ
335;ΣΕΡΙΦΟΥ - ΚΥΚΛΑΔΩΝ
336;ΣΕΡΡΩΝ - ΣΕΡΡΩΝ
337;ΣΗΤΕΙΑΣ - ΛΑΣΙΘΙΟΥ
338;ΣΙΑΤΙΣΤΑΣ - ΚΟΖΑΝΗΣ
339;ΣΙΚΙΝΟΥ - ΚΥΚΛΑΔΩΝ
340;ΣΙΚΥΩΝΟΣ (ΚΙΑΤΟΥ) - ΚΟΡΙΝΘΙΑΣ
341;ΣΙΦΝΟΥ - ΚΥΚΛΑΔΩΝ
342;ΣΚΙΑΘΟΥ - ΣΚΙΑΘΟΥ
343;ΣΚΟΠΕΛΟΥ - ΣΚΟΠΕΛΟΥ
344;ΣΚΥΔΡΑΣ - ΠΕΛΛΑΣ
345;ΣΚΥΡΟΥ - ΣΚΥΡΟΥ
346;ΣΟΛΙΟΥ - ΛΕΥΚΑΔΑΣ
347;ΣΟΛΥΓΕΙΑΣ - ΚΟΡΙΝΘΙΑΣ
348;ΣΟΥΦΛΙΟΥ - ΕΒΡΟΥ
349;ΣΟΦΑΔΩΝ - ΚΑΡΔΙΤΣΑΣ
350;ΣΟΧΟΥ - ΘΕΣΣΑΛΟΝΙΚΗΣ
351;ΣΠΑΡΤΗΣ - ΛΑΚΩΝΙΑΣ
352;ΣΠΑΤΩΝ - ΑΤΤΙΚΗΣ
353;ΣΠΕΡΧΕΙΑΔΑΣ - ΦΘΙΩΤΙΔΑΣ
354;ΣΠΕΤΣΩΝ - ΑΤΤΙΚΗΣ
355;ΣΠΗΛΙΟΥ - ΡΕΘΥΜΝΟΥ
356;ΣΤΑΥΡΟΥΠΟΛΗΣ - ΞΑΝΘΗΣ
357;ΣΤΥΛΙΔΑΣ (ΦΑΛΑΡΩΝ) - ΦΘΙΩΤΙΔΑΣ
358;ΣΤΥΜΦΑΛΙΑΣ - ΚΟΡΙΝΘΙΑΣ
359;ΣΤΥΡΩΝ - ΕΥΒΟΙΑΣ
360;ΣΥΚΙΑΣ - ΧΑΛΚΙΔΙΚΗΣ
361;ΣΥΜΗΣ - ΔΩΔΕΚΑΝΗΣΟΥ
362;ΣΥΝΤΙΚΟΥ - ΣΕΡΡΩΝ
363;ΣΥΡΟΥ (ΕΡΜΟΥΠΟΛΗΣ) - ΚΥΚΛΑΔΩΝ
364;ΤΑΝΙΑΣ (ΔΟΛΙΑΝΩΝ) - ΑΡΚΑΔΙΑΣ
365;ΤΕΥΘΙΔΟΣ - ΑΡΚΑΔΙΑΣ
366;ΤΖΕΡΜΙΑΔΟ - ΛΑΣΙΘΙΟΥ
367;ΤΖΟΥΜΕΡΚΩΝ - ΑΡΤΑΣ
368;ΤΗΝΟΥ - ΚΥΚΛΑΔΩΝ
369;ΤΟΛΟΦΩΝΟΣ - ΦΩΚΙΔΑΣ
370;ΤΡΑΓΑΙΑΣ - ΚΥΚΛΑΔΩΝ
371;ΤΡΙΚΑΛΩΝ - ΤΡΙΚΑΛΩΝ
372;ΤΡΙΚΟΛΩΝΙΩΝ ΣΤΕΜΝΙΤΣΑΣ - ΑΡΚΑΔΙΑΣ
373;ΤΡΙΠΟΛΕΩΣ (ΝΟΤΙΑΣ ΠΛΕΥΡΑΣ) - ΑΡΚΑΔΙΑΣ
374;ΤΡΙΠΟΛΕΩΣ Β.ΠΛΕΥΡΑΣ - ΑΡΚΑΔΙΑΣ
375;ΤΡΙΤΑΙΑΣ (ΕΡΥΜΑΝΘΙΑΣ) - ΑΧΑΙΑΣ
376;ΤΡΟΠΑΙΩΝ - ΑΡΚΑΔΙΑΣ
377;ΤΥΡΝΑΒΟΥ - ΛΑΡΙΣΑΣ
378;ΥΔΡΑΣ - ΑΤΤΙΚΗΣ
379;ΥΠΑΤΗΣ - ΦΘΙΩΤΙΔΑΣ
380;ΦΑΛΑΙΣΙΑΣ - ΑΡΚΑΔΙΑΣ
381;ΦΑΝΑΡΙΟΥ (ΙΘΩΜΗΣ) - ΚΑΡΔΙΤΣΑΣ
382;ΦΑΡΙΔΟΣ - ΛΑΚΩΝΙΑΣ
383;ΦΑΡΚΑΔΟΝΑΣ - ΤΡΙΚΑΛΩΝ
384;ΦΑΡΡΩΝ - ΑΧΑΙΑΣ
385;ΦΑΡΣΑΛΩΝ - ΛΑΡΙΣΑΣ
386;ΦΕΝΕΩΝ - ΚΟΡΙΝΘΙΑΣ
387;ΦΕΡΡΩΝ - ΜΑΓΝΗΣΙΑΣ
388;ΦΙΛΙΑΤΩΝ - ΘΕΣΠΡΩΤΙΑΣ
389;ΦΙΛΙΠΠΙΑΔΑΣ - ΠΡΕΒΕΖΑΣ
390;ΦΛΕΣΙΑΔΟΣ (ΧΩΡΑΣ) - ΜΕΣΣΗΝΙΑΣ
391;ΦΛΩΡΙΝΑΣ - ΦΛΩΡΙΝΑΣ
392;ΦΟΛΕΓΑΝΔΡΟΥ - ΚΥΚΛΑΔΩΝ
393;ΦΥΛΛΙΔΟΣ - ΣΕΡΡΩΝ
394;ΧΑΙΔΑΡΙΟΥ - ΑΤΤΙΚΗΣ
395;ΧΑΛΑΝΔΡΙΟΥ - ΑΤΤΙΚΗΣ
396;ΧΑΛΚΙΔΑΣ - ΕΥΒΟΙΑΣ
397;ΧΑΝΙΩΝ - ΧΑΝΙΩΝ
398;ΧΕΡΣΟΝΗΣΟΥ - ΗΡΑΚΛΕΙΟΥ
399;ΧΙΟΥ - ΧΙΟΥ
400;ΧΡΥΣΟΥΠΟΛΗΣ - ΚΑΒΑΛΑΣ
401;ΧΩΡΑΣ ΣΑΜΟΥ - ΣΑΜΟΥ
402;ΧΩΡΑΣ ΣΦΑΚΙΩΝ - ΧΑΝΙΩΝ
403;ΨΩΦΙΔΟΣ (ΔΗΜΗΤΣΑΝΑΣ) - ΑΡΚΑΔΙΑΣ
404;ΩΛΕΝΗΣ - ΗΛΕΙΑΣ
405;ΩΡΩΠΟΥ - ΑΤΤΙΚΗΣ
406; - 
407;ΧΑΛΚΗΣ - ΔΩΔΕΚΑΝΗΣΟΥ
408;ΤΗΛΟΥ - ΔΩΔΕΚΑΝΗΣΟΥ
409;
