delos id;mortage registry
73;ΒΟΥΦΡΑΔΟΣ - ΜΕΣΣΗΝΙΑΣ
74;ΒΥΡΩΝΑ - ΑΤΤΙΚΗΣ
75;ΒΥΤΙΝΑΣ (ΚΛΕΙΤΟΡΟΣ-ΜΥΛΑΟΝΤΟΣ) - ΑΡΚΑΔΙΑΣ
76;ΒΩΛΑΚΟΥ ΑΝΔΡΙΤΣΑΙΝΑΣ - ΗΛΕΙΑΣ
77;ΒΩΡΡΩΝ ΗΡΑΚΛΕΙΟΥ - ΗΡΑΚΛΕΙΟΥ
78;ΓΑΛΑΞΕΙΔΙΟΥ - ΦΩΚΙΔΑΣ
79;ΓΑΣΤΟΥΝΗΣ - ΗΛΕΙΑΣ
80;ΓΑΥΡΙΟΥ - ΚΥΚΛΑΔΩΝ
81;ΓΕΡΟΝΘΡΩΝ - ΛΑΚΩΝΙΑΣ
82;ΓΙΑΝΝΙΤΣΩΝ - ΠΕΛΛΑΣ
83;ΓΛΥΦΑΔΑΣ - ΑΤΤΙΚΗΣ
84;ΓΟΥΜΕΝΙΣΣΑΣ - ΚΙΛΚΙΣ
85;ΓΡΕΒΕΝΩΝ - ΓΡΕΒΕΝΩΝ
86;ΓΥΘΕΙΟΥ - ΛΑΚΩΝΙΑΣ
87;ΔΑΥΛΕΙΑΣ - ΒΟΙΩΤΙΑΣ
88;ΔΕΛΦΩΝ - ΦΩΚΙΔΑΣ
89;ΔΕΡΒΕΝΙΟΥ - ΚΟΡΙΝΘΙΑΣ
90;ΔΕΣΚΑΤΗ - ΓΡΕΒΕΝΩΝ
91;ΔΕΣΦΙΝΑΣ - ΦΩΚΙΔΑΣ
92;ΔΙΔΥΜΟΤΕΙΧΟΥ - ΕΒΡΟΥ
93;ΔΙΚΑΙΩΝ - ΕΒΡΟΥ
94;ΔΟΜΟΚΟΥ - ΦΘΙΩΤΙΔΑΣ
95;ΔΡΑΜΑΣ - ΔΡΑΜΑΣ
96;ΔΡΟΣΟΠΗΓΗΣ - ΑΡΤΑΣ
97;ΔΥΜΗΣ - ΑΧΑΙΑΣ
98;ΔΩΡΙΔΑΣ (ΛΙΔΩΡΙΚΙΟΥ) - ΦΩΚΙΔΑΣ
99;ΔΩΡΙΕΩΝ - ΦΩΚΙΔΑΣ
100;ΔΩΡΙΟΥ - ΜΕΣΣΗΝΙΑΣ
101;ΕΔΕΣΣΑΣ - ΠΕΛΛΑΣ
102;ΕΛ.ΒΕΝΙΖΕΛΟΥ - ΧΑΝΙΩΝ
103;ΕΛΑΣΣΟΝΑΣ - ΛΑΡΙΣΑΣ
104;ΕΛΑΤΕΙΑΣ ΛΟΚΡΙΔΟΣ - ΦΘΙΩΤΙΔΑΣ
105;ΕΛΕΥΣΙΝΑΣ - ΑΤΤΙΚΗΣ
106;ΕΛΕΥΣΙΝΑΣ ΠΕΛΟΠΟΝΝΗΣΟΥ - ΑΡΚΑΔΙΑΣ
107;ΕΟΡΔΑΙΑΣ - ΚΟΖΑΝΗΣ
108;ΕΠΙΔΑΥΡΟΥ (ΑΡΓΟΛΙΔΟΣ) - ΑΡΓΟΛΙΔΑΣ
109;ΕΠΙΔΑΥΡΟΥ (ΛΑΚΩΝΙΑΣ) - ΛΑΚΩΝΙΑΣ
110;ΕΠΙΛΙΜΝΙΩΝ (ΣΚΡΙΠΕΡΟ) - ΚΕΡΚΥΡΑΣ
111;ΕΡΑΝΗΣ (ΦΙΛΙΑΤΡΩΝ) - ΜΕΣΣΗΝΙΑΣ
112;ΕΡΕΣΣΟΥ - ΛΕΣΒΟΥ
113;ΕΡΕΤΡΙΑΣ - ΕΥΒΟΙΑΣ
114;ΕΡΙΝΕΟΥ - ΑΧΑΙΑΣ
115;ΕΡΥΘΡΩΝ - ΑΤΤΙΚΗΣ
116;ΕΡΥΣΣΟΥ - ΚΕΦΑΛΛΗΝΙΑΣ
117;ΕΥΑΣ - ΜΕΣΣΗΝΙΑΣ
118;ΕΥΔΗΛΟΥ - ΙΚΑΡΙΑΣ
119;ΕΥΠΑΛΙΟΥ - ΦΩΚΙΔΑΣ
120;ΕΧΙΝΟΥ (ΚΑΤΟΥΝΑΣ) - ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
121;ΖΑΓΟΡΑΣ - ΜΑΓΝΗΣΙΑΣ
122;ΖΑΓΟΡΙΟΥ - ΙΩΑΝΝΙΝΩΝ
123;ΖΑΚΥΝΘΟΥ - ΖΑΚΥΝΘΟΥ
124;ΖΙΤΣΑΣ - ΙΩΑΝΝΙΝΩΝ
125;ΖΩΓΡΑΦΟΥ - ΑΤΤΙΚΗΣ
126;ΗΓΟΥΜΕΝΙΤΣΑΣ - ΘΕΣΠΡΩΤΙΑΣ
127;ΗΛΙΟΥΠΟΛΕΩΣ - ΑΤΤΙΚΗΣ
128;ΗΡΑΚΛΕΙΑΣ - ΣΕΡΡΩΝ
129;ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ - ΗΡΑΚΛΕΙΟΥ
130;ΘΑΣΟΥ - ΚΑΒΑΛΑΣ
131;ΘΕΡΑΠΝΩΝ - ΛΑΚΩΝΙΑΣ
132;ΘΕΡΜΟΠΥΛΩΝ - ΦΘΙΩΤΙΔΑΣ
133;ΘΕΡΜΟΥ - ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
134;ΘΕΣΠΙΩΝ - ΒΟΙΩΤΙΑΣ
135;ΘΕΣΠΡΩΤΙΚΟΥ - ΠΡΕΒΕΖΑΣ
